word,definition
michael,(Old Testament) the guardian archangel of the Jews
microbe,a minute life form (especially a disease-causing bacterium); the term is not in technical use
middler,being neither at the beginning nor at the end in a series
midiron,long iron with a nearly vertical face
midland,a town in west central Texas
midmost,being in the exact middle
midrash,(Judaism) an ancient commentary on part of the Hebrew scriptures that is based on Jewish methods of interpretation and attached to the biblical text
midriff,the middle area of the human torso (usually in front)
midvein,the vein in the center of a leaf
midweek,the fourth day of the week; the third working day
midwest,the north central region of the United States (sometimes called the heartland or the breadbasket of America)
midwife,a woman skilled in aiding the delivery of babies
migrant,traveler who moves from one region or country to another
migrate,move from one country or region to another and settle there
mikania,large genus of evergreen lianas of tropical America
milcher,cattle that are reared for their milk
mileage,distance measured in miles
milfoil,"ubiquitous strong-scented mat-forming Eurasian herb of wasteland, hedgerow or pasture having narrow serrate leaves and small usually white florets; widely naturalized in North America"
militia,civilians trained as soldiers but not part of the regular army
milking,take milk from female mammals
milkman,someone who delivers milk
milksop,a timid man or boy considered childish or unassertive
milldam,dam to make a millpond to provide power for a water mill
milline,an advertising measure; one agate line appearing in one million copies of a publication
milling,corrugated edge of a coin
million,the number that is represented as a one followed by 6 zeros
mimesis,the imitative representation of nature and human behavior in art and literature
mimetic,characterized by or of the nature of or using mimesis
mimicry,the act of mimicking; imitative behavior
mimidae,sometimes considered a subfamily of Troglodytidae: mockingbirds; catbirds; thrashers
minaret,slender tower with balconies
mincing,make less severe or harsh
mindful,bearing in mind; attentive to
minding,"be offended or bothered by; take offense with, be bothered by"
mineral,solid homogeneous inorganic substances occurring in nature having a definite chemical composition
minerva,(Roman mythology) goddess of wisdom; counterpart of Greek Athena
miniate,paint with red lead or vermilion
minibus,a light bus (4 to 10 passengers)
minimal,the least possible
minimum,the smallest possible quantity
minimus,the fifth digit; the little finger or little toe
miniver,trimming on ceremonial robes consisting of white or light grey fur
minster,any of certain cathedrals and large churches; originally connected to a monastery
mintage,coins collectively
minuend,the number from which the subtrahend is subtracted
minuter,infinitely or immeasurably small
minutia,a small or minor detail
miocene,from 25 million to 13 million years ago; appearance of grazing mammals
miracle,any amazing or wonderful occurrence
miridae,leaf bugs
misally,make a bad alliance; ally inappropriately
miscall,assign in incorrect name to
miscast,"cast an actor, singer, or dancer in an unsuitable role"
misdate,assign the wrong date to
misdeal,an incorrect deal
misdeed,improper or wicked or immoral behavior
miserly,(used of persons or behavior) characterized by or indicative of lack of generosity
misfire,an explosion that fails to occur
misgive,suggest fear or doubt
mishnah,the first part of the Talmud; a collection of early oral interpretations of the scriptures that was compiled about AD 200
mislead,lead someone in the wrong direction or give someone wrong directions
mismate,provide with an unsuitable mate
misname,assign in incorrect name to
misplay,(baseball) a failure of a defensive player to make an out when normal play would have sufficed
misread,read or interpret wrongly
misrule,government that is inefficient or dishonest
missile,a rocket carrying a warhead of conventional or nuclear explosives; may be ballistic or directed by remote control
missing,fail to perceive or to catch with the senses or the mind
mission,an organization of missionaries in a foreign land sent to carry on religious work
missive,a written message addressed to a person or organization
misstep,an unintentional but embarrassing blunder
mistake,a wrong action attributable to bad judgment or ignorance or inattention
mistily,in a misty manner
mistime,time incorrectly
mistook,identify incorrectly
mistral,a strong north wind that blows in France during the winter
mitella,genus of low slender herbs of North America and northeastern Asia having flowers with trifid or pinnatifid petals
mitered,"bevel the edges of, to make a miter joint"
mithras,ancient Persian god of light and truth; sun god
mitosis,cell division in which the nucleus divides into nuclei containing the same number of chromosomes
mitotic,of or relating to or undergoing mitosis
mixable,"(chemistry, physics) capable of being mixed"
mixture,(chemistry) a substance consisting of two or more substances mixed together (not in fixed proportions and not with chemical bonding)
moaning,"indicate pain, discomfort, or displeasure"
mobbish,characteristic of a mob; disorderly or lawless
moblike,characteristic of a mob; disorderly or lawless
mobster,a criminal who is a member of gang
mockery,showing your contempt by derision
modeler,a person who creates models
modesty,freedom from vanity or conceit
modicum,a small or moderate or token amount; - Ian Jack
modiste,someone who makes and sells hats
modular,constructed with standardized units or dimensions allowing flexibility and variety in use
modulus,an integer that can be divided without remainder into the difference between two other integers
mohican,a member of the Algonquian people formerly living in the Hudson valley and eastward to the Housatonic
moiling,work hard
moisten,make moist
moistly,in a damp manner
mojarra,small silvery schooling fishes with protrusible mouths found in warm coastal waters
molding,the act of creating something by casting it in a mold
molidae,ocean sunfishes
mollify,cause to be more favorably inclined; gain the good will of
mollusk,invertebrate having a soft unsegmented body usually enclosed in a shell
momenta,an impelling force or strength
momotus,type genus of the Momotidae
monacan,a native or inhabitant of Monaco
monarch,a nation's ruler or head of state usually by hereditary right
monarda,any of various aromatic herbs of the genus Monarda
moneran,organisms that typically reproduce by asexual budding or fission and whose nutritional mode is absorption or photosynthesis or chemosynthesis
moneron,organisms that typically reproduce by asexual budding or fission and whose nutritional mode is absorption or photosynthesis or chemosynthesis
moneses,one species: one-flowered wintergreen; sometimes included in genus Pyrola
moneyed,based on or arising from the possession of money or wealth
moneyer,a skilled worker who coins or stamps money
mongrel,derogatory term for a variation that is not genuine; something irregular or inferior or of dubious origin
moniker,a familiar name for a person (often a shortened version of a person's given name)
monilia,any of the yeastlike imperfect fungi of the genus Monilia
monitor,someone who supervises (an examination)
monkish,befitting a monk; inclined to self-denial
monocle,lens for correcting defective vision in one eye; held in place by facial muscles
monocot,a monocotyledonous flowering plant; the stem grows by deposits on its inside
monodic,having a single vocal part
monodon,type genus of the Monodontidae
monomer,a simple compound whose molecules can join together to form polymers
monsoon,a seasonal wind in southern Asia; blows from the southwest (bringing rain) in summer and from the northeast in winter
monster,an imaginary creature usually having various human and animal parts
montage,a paste-up made by sticking together pieces of paper or photographs to form an artistic image
montana,a state in northwestern United States on the Canadian border
montane,of or inhabiting mountainous regions
monthly,a periodical that is published every month (or 12 issues per year)
moocher,someone who mooches or cadges (tries to get something free)
moodily,in a moody manner
mooneye,recurrent eye inflammation in horses; sometimes resulting in blindness
moonily,in a dreamy manner
mooning,have dreamlike musings or fantasies while awake
moonlit,lighted by moonlight
moorage,a fee for mooring
mooring,a place where a craft can be made fast
moorish,a style of architecture common in Spain from the 13th to 16th centuries; characterized by horseshoe-shaped arches
mooting,think about carefully; weigh
moraine,accumulated earth and stones deposited by a glacier
morally,with respect to moral principles
mordant,a substance used to treat leather or other materials before dyeing; aids in dyeing process
mordvin,a member of the agricultural people living in the central Volga provinces of European Russia
morello,any of several cultivated sour cherry trees bearing fruit with dark skin and juice
morning,the time period between dawn and noon
morocco,a kingdom (constitutional monarchy) in northwestern Africa with a largely Muslim population; achieved independence from France in 1956
moronic,having a mental age of between eight and twelve years
morphea,localized scleroderma
morphia,"an alkaloid narcotic drug extracted from opium; a powerful, habit-forming narcotic used to relieve pain"
mortify,practice self-denial of one's body and appetites
mortise,a square hole made to receive a tenon and so to form a joint
moschus,musk deer
moselle,German white wine from the Moselle valley or a similar wine made elsewhere
motored,travel or be transported in a vehicle
mottled,mark with spots or blotches of different color or shades of color as if stained
mouflon,wild mountain sheep of Corsica and Sardinia
moulded,"form in clay, wax, etc"
moulter,an animal (especially birds and arthropods and reptiles) that periodically shed their outer layer (feathers or cuticle or skin or hair)
mounted,attach to a support
mounter,a skilled worker who mounts pictures or jewels etc.
mountie,colloquial term for a member of the Royal Canadian Mounted Police
mourner,a person who is feeling grief (as grieving over someone who has died)
mousing,to go stealthily or furtively
mouthed,express in speech
movable,personal as opposed to real property; any tangible movable property (furniture or domestic animals or a car etc)
mucosal,of or relating to mucous membranes
mudding,"soil with mud, muck, or mire"
muezzin,the Muslim official of a mosque who summons the faithful to prayer from a minaret five times a day
muffled,conceal or hide
muffler,a tubular acoustic device inserted in the exhaust system that is designed to reduce noise
muggins,a person who lacks good judgment
mugwort,any of several weedy composite plants of the genus Artemisia
mugwump,someone who bolted from the Republican Party during the U.S. presidential election of 1884
mulatto,an offspring of a black and a white parent
mullein,any of various plants of the genus Verbascum having large usually woolly leaves and terminal spikes of yellow or white or purplish flowers
mullets,highly valued lean flesh of marine or freshwater mullet
mullion,a nonstructural vertical strip between the casements or panes of a window (or the panels of a screen)
mumbler,a person who speaks softly and indistinctly
mummery,meaningless ceremonies and flattery
mummify,preserve while making lifeless
muncher,a chewer who makes a munching noise
mundane,found in the ordinary course of events; ; ; - Anita Diamant
munjeet,perennial East Indian creeping or climbing herb used for dye in the orient
muntjac,small Asian deer with small antlers and a cry like a bark
muridae,originally Old World rats now distributed worldwide; distinguished from the Cricetidae by typically lacking cheek pouches
murillo,Spanish painter (1617-1682)
murkily,unclearly; opaquely
murrain,any disease of domestic animals that resembles a plague
musales,tropical plants
muscari,sometimes placed in family Hyacinthaceae
muscled,make one's way by force
muscovy,a Russian principality in the 13th to 16th centuries; Moscow was the capital
musette,a small bagpipe formerly popular in France
musical,a play or film whose action and dialogue is interspersed with singing and dancing
muskrat,the brown fur of a muskrat
mustang,small hardy range horse of the western plains descended from horses brought by the Spanish
mustard,any of several cruciferous plants of the genus Brassica
mustela,type genus of the family Mustelidae: minks and weasels
mutable,capable of or tending to change in form or quality or nature
mutisia,any of various plants of the genus Mutisia
muzzler,someone who muzzles animals
myalgia,pain in a muscle or group of muscles
myalgic,of or relating to myalgia
mycelia,the vegetative part of a fungus consisting of a mass of branching threadlike hyphae
mycosis,an inflammatory condition caused by a fungus
myeloid,of or relating to bone marrow
myeloma,a tumor of the bone marrow (usually malignant) composed of cells normally found in bone marrow
myiasis,infestation of the body by the larvae of flies (usually through a wound or other opening) or any disease resulting from such infestation
mylodon,large (bear-sized) extinct edentate mammal of the Pleistocene in South America
myogram,a graphical recording of muscle activity
myology,the branch of physiology that studies muscles
myotomy,surgical incision or division of a muscle
myringa,the membrane in the ear that vibrates to sound
myrrhis,European perennial herbs having pinnate leaves and umbels of white flowers
mysidae,small shrimp-like crustaceans
mystery,something that baffles understanding and cannot be explained
mystify,be a mystery or bewildering to
mytilid,marine bivalve mollusk having a dark elongated shell; live attached to solid objects especially in intertidal zones
mytilus,type genus of the family Mytilidae: smooth-shelled marine mussels
nabalus,genus of North American and east Asian perennial herbs; sometimes included in genus Prenanthes
nacelle,a streamlined enclosure for an aircraft engine
nagging,bother persistently with trivial complaints
nahuatl,a member of any of various Indian peoples of central Mexico
naiades,submerged aquatic plant having narrow leaves and small flowers; of fresh or brackish water
nailing,attach something somewhere by means of nails
nailrod,"tall marsh plant with cylindrical seed heads that explode when mature shedding large quantities of down; its long flat leaves are used for making mats and chair seats; of North America, Europe, Asia and North Africa"
naively,in a naive manner
naivete,lack of sophistication or worldliness
naivety,lack of sophistication or worldliness
nakedly,in an exposed manner; without protection or defense
nanaimo,a town in southwestern British Columbia on Vancouver Island to the west of Vancouver
nankeen,a durable fabric formerly loomed by hand in China from natural cotton having a yellowish color
nanking,a city in eastern China on the Yangtze River; a former capital of China; the scene of a Japanese massacre in the 1930s
naphtha,any of various volatile flammable liquid hydrocarbon mixtures; used chiefly as solvents
napless,a port and tourist center in southwestern Italy; capital of the Campania region
napping,take a siesta
narcism,an exceptional interest in and admiration for yourself
narcist,someone in love with themselves
narrate,"provide commentary for a film, for example"
narthex,portico at the west end of an early Christian basilica or church
narwhal,small Arctic whale the male having a long spiral ivory tusk
nasalis,proboscis monkeys
nasally,in a nasal manner
nascent,being born or beginning
nastily,in a nasty ill-tempered manner
natator,a person who travels through the water by swimming
natchez,a town in southwest Mississippi on the Mississippi River
nattily,in a natty manner; with smartness
natural,someone regarded as certain to succeed
naughty,suggestive of sexual impropriety
naziism,a form of socialism featuring racism and expansionism and obedience to a strong leader
nearest,not far distant in time or space or degree or circumstances
nebulae,a medicinal liquid preparation intended for use in an atomizer
nebular,of or relating to or resembling a nebula
necking,the molding at the top of a column
necklet,decoration worn about the neck (fur piece or tight necklace) as an ornament
necktie,neckwear consisting of a long narrow piece of material worn (mostly by men) under a collar and tied in knot at the front
necrose,undergo necrosis
nectary,a gland (often a protuberance or depression) that secretes nectar
needful,necessary for relief or supply
needing,"require as useful, just, or proper"
needled,"goad or provoke,as by constant criticism"
needles,the leaf of a conifer
neglect,lack of attention and due care
negress,a Black woman or girl
negroid,a person with dark skin who comes from Africa (or whose ancestors came from Africa)
neither,not either; not one or the other
nelumbo,sometimes placed in the family Nymphaeaceae: lotuses
nemeses,(Greek mythology) the goddess of divine retribution and vengeance
nemesis,(Greek mythology) the goddess of divine retribution and vengeance
neolith,a stone tool from the Neolithic Age
neology,a newly invented word or phrase
neonate,a baby from birth to four weeks
neoteny,an evolutionary trend to be born earlier so that development is cut off at an earlier stage and juvenile characteristics are retained in adults of the species
neotoma,packrats
nephron,any of the small tubules that are the excretory units of the vertebrate kidney
nepidae,water scorpions
neptune,(Roman mythology) god of the sea; counterpart of Greek Poseidon
neritic,of or relating to the region of the sea over the continental shelf which is less than 200 meters deep
nervily,in a brash cheeky manner
nerving,get ready for something difficult or unpleasant
nervous,easily agitated
nervure,any of the vascular bundles or ribs that form the branching framework of conducting and supporting tissues in a leaf or other plant organ
nesokia,bandicoot rats
netball,a team game that resembles basketball; a soccer ball is to be thrown so that it passes through a ring on the top of a post
netlike,having open interstices or resembling a web
netting,a net of transparent fabric with a loose open weave
network,an interconnected system of things or people
neuroma,any tumor derived from cells of the nervous system
neutral,one who does not side with any party in a war or dispute
neutron,an elementary particle with 0 charge and mass about equal to a proton; enters into the structure of the atomic nucleus
nevadan,a native or resident of Nevada
newness,the quality of being new; the opposite of oldness
newport,a port city in southeastern Wales
newsboy,a boy who delivers newspapers
newsman,a person who investigates and reports or edits news stories
niagara,waterfall in Canada is the Horseshoe Falls; in the United States it is the American Falls
nibbler,a biter who takes dainty repeated bites
niblick,an iron with considerable loft
nicaean,of or relating to the ancient city of Nicaea in Asia Minor
nicking,"cut slightly, with a razor"
nictate,briefly shut the eyes
nigella,any plant of the genus Nigella
niggard,a selfish person who is unwilling to give or spend
niggler,someone who constantly criticizes in a petty way
nighted,overtaken by night or darkness
nightie,lingerie consisting of a loose dress designed to be worn in bed by women
nightly,happening every night
nigrify,make or become black
nilotic,a group of languages of East Africa belonging to the Chari-Nile group
nimiety,a quantity much larger than is needed
ninepin,a bowling pin of the type used in playing ninepins or (in England) skittles
niobite,a black mineral that is an ore of niobium and tantalum
niobium,a soft grey ductile metallic element used in alloys; occurs in niobite; formerly called columbium
nippers,a young person of either sex
nipping,squeeze tightly between the fingers
nirvana,(Hinduism and Buddhism) the beatitude that transcends the cycle of reincarnation; characterized by the extinction of desire and suffering and individual consciousness
nitella,fragile branching stoneworts
nitrate,any compound containing the nitrate group (such as a salt or ester of nitric acid)
nitride,a compound containing nitrogen and a more electropositive element (such as phosphorus or a metal)
nitrify,"convert into nitric acid, nitrous acid, or nitrate, especially with the action of nitrobacteria"
nitrile,any of a class of organic compounds containing the cyano radical -CN
nitrite,the radical -NO2 or any compound containing it (such as a salt or ester of nitrous acid)
nitrous,of or containing nitrogen
noctuid,usually dull-colored medium-sized nocturnal moth; the usually smooth-bodied larvae are destructive agricultural pests
nodding,express or signify by nodding
nodular,relating to or characterized by or having nodules
noduled,having nodules or occurring in the form of nodules
nogging,rough brick masonry used to fill in the gaps in a wooden frame
noisily,with much noise or loud and unpleasant sound
noisome,causing or able to cause nausea
nomadic,migratory
nombril,the center point on a shield
nominal,a phrase that can function as the subject or object of a verb
nominee,a politician who is running for public office
nonagon,a nine-sided polygon
nonplus,be a mystery or bewildering to
nonskid,designed to reduce or prevent skidding
nonslip,designed to reduce or prevent slipping
nonstop,a flight made without intermediate stops between source and destination
nonuple,having nine units or components
noonday,the middle of the day
nopalea,a genus of the cactus family with scarlet flowers
norfolk,port city located in southeastern Virginia on the Elizabeth River at the mouth of Chesapeake Bay; headquarters of the Atlantic fleet of the United States Navy
norther,a wind that blows from the north
nosegay,an arrangement of flowers that is usually given as a present
nostril,either one of the two external openings to the nasal cavity in the nose
nostrum,hypothetical remedy for all ills or diseases; once sought by the alchemists
notable,a celebrity who is an inspiration to others
notably,especially; in particular
notched,cut or make a notch into
nothing,a quantity of no importance
noticer,someone who takes notice
nourish,provide with nourishment
novella,a short novel
novelty,originality by virtue of being refreshingly novel
nowhere,an insignificant place
nowness,the quality of being the present; - R.E.Spiller
noxious,injurious to physical or mental health
nuclear,(weapons) deriving destructive energy from the release of atomic energy
nucleon,a constituent (proton or neutron) of an atomic nucleus
nucleus,a part of the cell containing DNA and RNA and responsible for growth and reproduction
nullify,declare invalid
nullity,the state of nonexistence
numbing,make numb or insensitive
numeral,a symbol used to represent a number
nunnery,the convent of a community of nuns
nuptial,of or relating to a wedding
nursery,a child's room for a baby
nursing,the work of caring for the sick or injured or infirm
nurture,the properties acquired as a consequence of the way you were treated as a child
nutlike,having the flavor of nuts
nutrify,give nourishment to
nuttily,in a mildly insane manner
nutting,gather nuts
nymphet,a sexually attractive young woman
oarfish,thin deep-water tropical fish 20 to 30 feet long having a red dorsal fin
oarlock,a holder attached to the gunwale of a boat that holds the oar in place and acts as a fulcrum for rowing
oarsman,someone who rows a boat
oatcake,thin flat unleavened cake of baked oatmeal
oatmeal,porridge made of rolled oats
obadiah,a Hebrew minor prophet
obelion,the craniometric point on the sagittal suture near the lamboid suture
obelisk,a stone pillar having a rectangular cross section tapering towards a pyramidal top
obesity,more than average fatness
obliged,force somebody to do something
obliger,someone who performs a service or does a favor
oblique,any grammatical case other than the nominative
obloquy,state of disgrace resulting from public abuse
obovate,(of a leaf shape) egg-shaped with the narrower end at the base
obscene,designed to incite to indecency or lust; -Margaret Mead
obscure,make less visible or unclear
observe,"discover or determine the existence, presence, or fact of"
obtrude,push to thrust outward
obverse,the more conspicuous of two alternatives or cases or sides
obviate,do away with
obvious,easily perceived by the senses or grasped by the mind
ocarina,egg-shaped terra cotta wind instrument with a mouthpiece and finger holes
occiput,back part of the head or skull
occlude,block passage through
oceanic,an eastern subfamily of Malayo-Polynesian languages
ocellus,an eye having a single lens
ochroma,one species: balsa
octagon,an eight-sided polygon
october,the month following September and preceding November
octopod,a cephalopod with eight arms but lacking an internal shell
octopus,tentacles of octopus prepared as food
octuple,having eight units or components
oculist,a person skilled in testing for defects of vision in order to prescribe corrective glasses
oddment,a piece of cloth that is left over after the rest has been used or sold
oddness,the parity of odd numbers (not divisible by two)
odonata,dragonflies and damselflies
odorize,cause to smell or be smelly
odorous,having odor or a characteristic odor
odyssey,a long wandering and eventful journey
oedipus,(Greek mythology) a tragic king of Thebes who unknowingly killed his father Laius and married his mother Jocasta; the subject of the drama `Oedipus Rex' by Sophocles
oenomel,wine mixed with honey
oersted,the magnetic field strength 1 cm from a unit magnetic pole
oestrus,applies to nonhuman mammals: a state or period of heightened sexual arousal and activity
offbeat,an unaccented beat (especially the last beat of a measure)
offense,a lack of politeness; a failure to show regard for others; wounding the feelings or others
offerer,someone who presents something to another for acceptance or rejection
offeror,someone who presents something to another for acceptance or rejection
offhand,with little or no preparation or forethought
officer,any person in the armed services who holds a position of authority or command
oilbird,nocturnal fruit-eating bird of South America that has fatty young yielding an oil that is used instead of butter
oilfish,very large deep-water snake mackerel
oilseed,any of several seeds that yield oil
oilskin,a macintosh made from cotton fabric treated with oil and pigment to make it waterproof
ojibway,a member of an Algonquian people who lived west of Lake Superior
oldness,the opposite of youngness
oldster,an elderly person
oldwife,tropical Atlantic fish
olearia,large genus of Australian evergreen shrubs or small trees with large daisylike flowers
olefine,any unsaturated aliphatic hydrocarbon
olivier,English actor best know for his Shakespearean roles (1907-1989)
olivine,a mineral consisting of magnesium iron silicate; a source of magnesium
olympia,capital of the state of Washington; located in western Washington on Puget Sound
olympic,of or relating to the Olympic Games
olympus,"a mountain peak in northeast Greece near the Aegean coast; believed by ancient Greeks to be the dwelling place of the gods (9,570 feet high)"
omentum,a fold of peritoneum supporting the viscera
omicron,the 15th letter of the Greek alphabet
ominous,threatening or foreshadowing evil or tragic developments
omnibus,an anthology of articles on a related subject or an anthology of the works of a single author
onanism,manual stimulation of the genital organs (of yourself or another) for sexual pleasure
onanist,a person who practices masturbation
ondatra,muskrats
oneiric,of or relating to or suggestive of dreams
oneness,the quality of being united into one
onerous,not easily borne; wearing
onetime,belonging to some prior time
ongoing,currently happening
oniscus,type genus of the Oniscidae; woodlice that cannot roll into a ball
onoclea,one species: sensitive fern; in some classifications included in Polypodiaceae
onshore,(of winds) coming from the sea toward the land
onwards,in a forward direction
onymous,bearing a name
oospore,a thick-walled sexual spore that develops from a fertilized oosphere in some algae and fungi
opacify,make opaque
opacity,the phenomenon of not permitting the passage of electromagnetic radiation
opaline,having a play of lustrous rainbow colors
opalize,make opalescent
opening,an open or empty space in or between things
operand,a quantity upon which a mathematical operation is performed
operant,having influence or producing an effect
operate,"direct or control; projects, businesses, etc."
operose,characterized by effort to the point of exhaustion; especially physical effort
ophidia,snakes
ophryon,the craniometric point in the midline of the forehead immediately above the orbits
opinion,a personal belief or judgment that is not founded on proof or certainty
opossum,small furry Australian arboreal marsupials having long usually prehensile tails
opposed,be against; express opposition to
opposer,someone who offers opposition
oppress,come down on or keep down by unjust use of one's authority
opsonin,an antibody in blood serum that attaches to invading microorganisms and other antigens to make them more susceptible to the action of phagocytes
optical,of or relating to or involving light or optics
optimal,most desirable possible under a restriction expressed or implied
optimum,most favorable conditions or greatest degree or amount possible under given circumstances
opulent,rich and superior in quality
opuntia,large genus of cactuses native to America: prickly pears
oranger,of the color between red and yellow; similar to the color of a ripe orange
oration,an instance of oratory
oratory,addressing an audience formally (usually a long and rhetorical address and often pompous)
orbital,of or relating to an orbit
orchard,garden consisting of a small cultivated wood without undergrowth
orcinus,killer whales
ordered,give instructions to or direct somebody to do something with authority
orderer,someone who places an order to buy
orderly,a soldier who serves as an attendant to a superior officer
ordinal,the number designating place in an ordered sequence
organdy,a sheer stiff muslin
organic,a fertilizer that is derived from animal or vegetable matter
organon,a system of principles for philosophic or scientific investigations; an instrument for acquiring knowledge
orifice,an aperture or hole that opens into a bodily cavity
oriolus,type genus of the Oriolidae
orlando,a city in central Florida; site of Walt Disney World
orleans,a city on the Loire river in north central France; site of the siege of Orleans by the English (1428-1429)
orogeny,the process of mountain formation (especially by the upward displacement of the earth's crust)
orology,the science of mountains
orotund,ostentatiously lofty in style
orpheus,(Greek mythology) a great musician; when his wife Eurydice died he went to Hades to get her back but failed
orphrey,a richly embroidered edging on an ecclesiastical vestment
ortalis,chachalacas
ortolan,brownish Old World bunting often eaten as a delicacy
ortygan,any of several East Indian birds
oscines,two names for the suborder of typical songbirds
osmanli,a Turk (especially a Turk who is a member of the tribe of Osman I)
osmerus,type genus of the Osmeridae
osmosis,"(biology, chemistry) diffusion of molecules through a semipermeable membrane from a place of higher concentration to a place of lower concentration until the concentration on both sides is equal"
osmotic,of or relating to osmosis
osseous,composed of or containing bone
ossicle,a small bone; especially one in the middle ear
ossuary,any receptacle for the burial of human bones
osteoma,a slow growing benign tumor of consisting of bone tissue; usually on the skull or mandible
ostiary,the lowest of the minor Holy Orders in the unreformed Western Church but now suppressed by the Roman Catholic Church
ostiole,a small pore especially one in the reproductive bodies of certain algae and fungi through which spores pass
ostrich,a person who refuses to face reality or recognize the truth (a reference to the popular notion that the ostrich hides from danger by burying its head in the sand)
otalgia,an ache localized in the middle or inner ear
othello,the hero of William Shakespeare's tragedy who would not trust his wife
othonna,a South African plant of the genus Othonna having smooth often fleshy leaves and heads of yellow flowers
otology,the branch of medicine concerned with the ear
ottoman,a Turk (especially a Turk who is a member of the tribe of Osman I)
ouranos,(Greek mythology) god of the heavens; son and husband of Gaea and father of the Titans in ancient mythology
outback,the bush country of the interior of Australia
outbred,bred of parents not closely related; having parents of different classes or tribes
outcast,a person who is rejected (from society or home)
outcome,something that results
outcrop,the part of a rock formation that appears above the surface of the surrounding land
outdoor,"located, suited for, or taking place in the open air"
outdraw,"draw a gun faster, or best someone in a gunfight"
outface,overcome or cause to waver or submit by (or as if by) staring
outfall,the outlet of a river or drain or other source of water
outflow,the discharge of a fluid from some container
outgoer,someone who leaves one country to settle in another
outgone,be or do something to a greater degree
outgrow,grow too large or too mature for
outlast,live longer than
outlier,a person who lives away from his place of work
outline,the line that appears to bound an object
outlive,live longer than
outlook,a habitual or characteristic mental attitude that determines how you will interpret and respond to situations
outmode,"make unfashionable, outdated, or obsolete"
outmost,situated at the farthest possible point from a center
outpace,surpass in speed
outplay,excel or defeat in a game
outport,a subsidiary port built in deeper water than the original port (but usually farther from the center of trade)
outpost,a station in a remote or sparsely populated location
outrage,a feeling of righteous anger
outrank,take precedence or surpass others in rank
outride,hang on during a trial of endurance
outroar,roar louder than
outsail,sail faster or better than
outsell,"be sold more often than other, similar products"
outside,the region that is outside of something
outsize,an unusual garment size (especially one that is very large)
outsole,the outer sole of a shoe or boot that is the bottom of the shoe and makes contact with the ground
outspan,remove the yoke or harness from
outstay,stay too long
outturn,what is produced in a given time period
outvote,defeat by a majority of votes
outward,relating to physical reality rather than with thoughts or the mind
outwear,last longer than others
outwent,be or do something to a greater degree
outwore,last longer than others
outwork,subsidiary defensive structure lying outside the main fortified area
outworn,last longer than others
ovarian,of or involving the ovaries
ovation,enthusiastic recognition (especially one accompanied by loud applause)
overact,exaggerate one's acting
overage,a surplus or excess of money or merchandise that is actually on hand and that exceeds expectations
overall,(usually plural) work clothing consisting of denim trousers (usually with a bib and shoulder straps)
overarm,with hand brought forward and down from above shoulder level
overawe,"subdue, restrain, or overcome by affecting with a feeling of awe; frighten (as with threats)"
overbid,a bid that is higher than preceding bids
overdue,past due; not paid at the scheduled time
overeat,overeat or eat immodestly; make a pig of oneself
overfed,too well nourished
overfly,fly over
overjoy,cause to feel extremely joyful or happy
overlap,a representation of common ground between theories or phenomena
overlay,"protective covering consisting, for example, of a layer of boards applied to the studs and joists of a building to strengthen it and serve as a foundation for a weatherproof exterior"
overlie,lie upon; lie on top of
overlip,the upper lip
overpay,pay too much
overrun,too much production or more than expected
oversea,being or passing over or across the sea
oversee,watch and direct
oversew,sew (two edges) with close stitches that pass over them both
overtax,tax excessively
overtly,in an overt manner
overtop,look down on
overuse,exploitation to the point of diminishing returns
oviduct,either of a pair of tubes conducting the egg from the ovary to the uterus
oviform,rounded like an egg
ovulate,produce and discharge eggs
oxalate,a salt or ester of oxalic acid
oxheart,any of several cultivated sweet cherries having sweet juicy heart-shaped fruits
oxidant,a substance that oxidizes another substance
oxidase,any of the enzymes that catalyze biological oxidation
oxidate,enter into a combination with oxygen or become converted into an oxide
oxidize,enter into a combination with oxygen or become converted into an oxide
oxonian,a native or resident of Oxford
oxyacid,any acid that contains oxygen
oxyopia,unusually acute vision
oxytone,word having stress or an acute accent on the last syllable
ozonide,any of a class of unstable chemical compounds resulting from the addition of ozone to a double bond in an unsaturated compound
ozonium,form genus of imperfect fungi
ozonize,convert (oxygen) into ozone
pabulum,any substance that can be used as food
pachisi,an ancient board game resembling backgammon; played on a cross-shaped board
pacific,the largest ocean in the world
package,a collection of things wrapped or boxed together
packman,someone who travels about selling his wares (as on the streets or at carnivals)
padding,artifact consisting of soft or resilient material used to fill or give shape or protect or add comfort
paddled,propel with a paddle
paddler,someone paddling a canoe
paddock,pen where racehorses are saddled and paraded before a race
padlock,a detachable lock; has a hinged shackle that can be passed through the staple of a hasp or the links in a chain and then snapped shut
paeonia,peonies: herbaceous or shrubby plants having showy flowers
pageant,an elaborate representation of scenes from history etc; usually involves a parade with rich costumes
pagurus,type genus of the family Paguridae
pahlavi,Shah of Iran who was deposed in 1979 by Islamic fundamentalists (1919-1980)
pailful,the quantity contained in a pail
painful,causing physical or psychological pain
paining,cause bodily suffering to and make sick or indisposed
painted,make a painting
painter,an artist who paints
paisley,a soft wool fabric with a colorful swirled pattern of curved shapes
pakchoi,Asiatic plant grown for its cluster of edible white stalks with dark green leaves
paladin,someone who fights for a cause
palatal,a semivowel produced with the tongue near the palate (like the initial sound in the English word `yeast')
palaver,flattery intended to persuade
