word,definition
moors,one of the Muslim people of north Africa; of mixed Arab and Berber descent; converted to Islam in the 8th century; conqueror of Spain in the 8th century
moose,large northern deer with enormous flattened antlers in the male; called `elk' in Europe and `moose' in North America
moral,the significance of a story or event
moray,family of brightly colored voracious eels of warm coastal waters; generally nonaggressive to humans but larger species are dangerous if provoked
morel,any of various edible mushrooms of the genus Morchella having a brownish spongelike cap
mores,(sociology) the conventions that embody the fundamental values of a group
moron,a person of subnormal intelligence
morph,cause to change shape in a computer animation
morse,a telegraph code in which letters and numbers are represented by strings of dots and dashes (short and long signals)
morus,type genus of the Moraceae: mulberries
moses,(Old Testament) the Hebrew prophet who led the Israelites from Egypt across the Red sea on a journey known as the Exodus; Moses received the Ten Commandments from God on Mount Sinai
mosey,walk leisurely
mossy,overgrown with moss
mosul,a city in northern Iraq on the Tigris across from the ruins of Nineveh
motel,a motor hotel
motet,an unaccompanied choral composition with sacred lyrics; intended to be sung as part of a church service; originated in the 13th century
mothy,worn or eaten away by (or as if by) moths
motif,"a design or figure that consists of recurring shapes or colors, as in architecture or decoration"
motor,machine that converts other forms of energy into mechanical energy and so imparts motion
motto,a favorite saying of a sect or political group
mould,loose soil rich in organic matter
mound,(baseball) the slight elevation on which the pitcher stands
mount,a lightweight horse kept for riding only
mourn,feel sadness
mouse,any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails
mousy,quiet and timid and ineffectual
mouth,the opening through which food is taken in and vocalizations emerge
mover,workman employed by a moving company
movie,a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement
mower,garden tool for mowing grass on lawns
mucin,a nitrogenous substance found in mucous secretions; a lubricant that protects body surfaces
mucky,(of soil) soft and watery
mucor,any mold of the genus Mucor
mucus,protective secretion of the mucus membranes; in the gut it lubricates the passage of food and protects the epithelial cells; in the nose and throat and lungs it can make it difficult for bacteria to penetrate the body through the epithelium
muddy,dirty with mud
mudra,ritual hand movement in Hindu religious dancing
mufti,a jurist who interprets Muslim religious law
muggy,hot or warm and humid
mugil,type genus of the Mugilidae: mullets
mulch,a protective covering of rotting vegetable matter spread to reduce evaporation and soil erosion
mulct,money extracted as a penalty
mulla,a Muslim trained in the doctrine and law of Islam; the head of a mosque
mummy,informal terms for a mother
mumps,an acute contagious viral disease characterized by fever and by swelling of the parotid glands
munch,Norwegian painter (1863-1944)
munda,a family of languages spoken by people scattered throughout central India
mural,a painting that is applied to a wall surface
murky,(of liquids) clouded as with sediment
murre,black-and-white diving bird of northern seas
musca,a small constellation in the polar region of the southern hemisphere near the Southern Cross and Chamaeleon
musci,true mosses: bryophytes having leafy rather than thalloid gametophytes: comprises orders Andreaeales; Bryales; Dicranales; Eubryales; Sphagnales
mused,reflect deeply on a subject
muser,a reflective thinker characterized by quiet contemplation
musgu,a Chadic language spoken south of Lake Chad
mushy,having the consistency of mush
music,an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner
musky,resembling the smell of musk
mussy,dirty and disorderly
mustn,
musty,covered with or smelling of mold
muter,expressed without speech; ; ; - Emily Dickinson; ; ; - Thomas Wolfe
muzzy,indistinct or hazy in outline
myoid,resembling muscle
myoma,a benign tumor composed of muscle tissue
myope,a person with myopia; a nearsighted person
myrrh,aromatic resin that is burned as incense and used in perfume
mysis,type genus of the family Mysidae
nabob,a governor in India during the Mogul empire
nacre,the iridescent internal layer of a mollusk shell
nadir,an extreme state of adversity; the lowest point of anything
nahum,a Hebrew minor prophet of the 7th century BC
naiad,submerged aquatic plant having narrow leaves and small flowers; of fresh or brackish water
naias,sole genus of the family Naiadaceae
naive,marked by or showing unaffected simplicity and lack of guile or worldly experience
naked,completely unclothed
namer,a person who gives a name or names
nance,offensive term for an openly homosexual man
nancy,a city in northeastern France in Lorraine
nandu,smaller of two tall fast-running flightless birds similar to ostriches but three-toed; found from Peru to Strait of Magellan
nanny,a woman who is the custodian of children
naomi,the mother-in-law of Ruth whose story is told in the Book of Ruth in the Old Testament
nappy,garment consisting of a folded cloth drawn up between the legs and fastened at the waist; worn by infants to catch excrement
nares,any of the openings to the nasal cavities that allow air to flow through the cavities to the pharynx
nasal,a consonant produced through the nose with the mouth closed
nasty,offensive or even (of persons) malicious; ; ; ; ; ; - Ezra Pound
nasua,coatis
natal,a region of eastern South Africa on the Indian Ocean
nates,the fleshy part of the human body that you sit on
natty,marked by up-to-dateness in dress and manners
naval,connected with or belonging to or used in a navy
navel,a scar where the umbilical cord was attached
navvy,a laborer who is obliged to do menial work
nawab,a governor in India during the Mogul empire
needn,
needs,a condition requiring relief
needy,needy people collectively
negro,a person with dark skin who comes from Africa (or whose ancestors came from Africa)
negus,wine and hot water with sugar and lemon juice and nutmeg
neigh,the characteristic sounds made by a horse
nepal,a small landlocked Asian country high in the Himalayas between India and China
nerve,any bundle of nerve fibers running to various organs and tissues of the body
nervy,being in a tense state
neter,remaining after all deductions
never,not ever; at no time in the past or future
nevus,a blemish on the skin that is formed before birth
newel,the post at the top or bottom of a flight of stairs; it supports the handrail
newly,very recently
newsy,full of news
nexus,the means of connection between things linked in series
niche,a position particularly well suited to the person who occupies it
nidus,a central point or locus of an infection in an organism
niece,a daughter of your brother or sister
nifty,very good
night,the time after sunset and before sunrise while it is dark outside
nimbi,a dark grey cloud bearing rain
ninja,a member of the ninja who were trained in martial arts and hired for espionage or sabotage or assassinations; a person skilled in ninjutsu
ninny,a stupid foolish person
ninon,a fine strong sheer silky fabric made of silk or rayon or nylon
ninth,position nine in a countable series of things
nintu,a name under which Ninkhursag was worshipped
niobe,(Greek mythology) the daughter of Tantalus whose boasting about her children provoked Apollo and Artemis to slay them all; Niobe was turned to stone while bewailing her loss
nippy,a sharp biting taste
nisan,the seventh month of the civil year; the first month of the ecclesiastic year (in March and April)
nisei,a person born in the United States of parents who emigrated from Japan
nisus,an effortful attempt to attain a goal
niter,(KNO3) used especially as a fertilizer and explosive
nitid,bright with a steady but subdued shining
noble,a titled peer of the realm
nobly,in a noble manner
noded,express or signify by nodding
noemi,the mother-in-law of Ruth whose story is told in the Book of Ruth in the Old Testament
nohow,in no manner; in no way
noise,sound of any kind (especially unintelligible or dissonant sound)
noisy,full of or characterized by loud and nonmusical sounds
nomad,a member of a people who have no permanent home but move about according to the seasons
nonce,the present occasion
nones,the fifth of the seven canonical hours; about 3 p.m.
nooky,slang for sexual intercourse
noose,a trap for birds or small mammals; often has a slip noose
nopal,cactus having yellow flowers and purple fruits
noria,a water wheel with buckets attached to the rim; used to raise water for transfer to an irrigation channel
norma,a small constellation in the southern hemisphere near Lupus and Ara in the Milky Way
norse,an inhabitant of Scandinavia
north,the region of the United States lying to the north of the Mason-Dixon line
nosed,search or inquire in a meddlesome way
nosey,offensively curious or inquisitive
notch,a V-shaped indentation
noted,make mention of
novel,an extended fictional work in prose; usually in the form of a story
nubby,of textiles; having a rough surface
nubia,an ancient region of northeastern Africa (southern Egypt and northern Sudan) on the Nile; much of Nubia is now under Lake Nasser
nucha,the back side of the neck
nudge,a slight push or shake
numen,a spirit believed to inhabit an object or preside over a place (especially in ancient Roman religion)
nurse,one skilled in caring for young children or the sick (usually under the supervision of a physician)
nutty,having the flavor of nuts
nylon,a thermoplastic polyamide; a family of strong resilient synthetic fibers
nymph,(classical mythology) a minor nature goddess usually depicted as a beautiful maiden
nyssa,tupelos: deciduous trees of moist habitats especially swamps and beside ponds
oaken,consisting of or made of wood of the oak tree
oakum,loose hemp or jute fiber obtained by unravelling old ropes; when impregnated with tar it was used to caulk seams and pack joints in wooden ships
oases,a fertile tract in a desert (where the water table approaches the surface)
oasis,a fertile tract in a desert (where the water table approaches the surface)
oaten,of or related to or derived from oats
obeah,(West Indies) followers of a religious system involving witchcraft and sorcery
obese,excessively fat
occur,come to pass
ocean,a large body of water constituting a principal part of the hydrosphere
ocher,a moderate yellow-orange to orange color
ochna,type genus of Ochnaceae; evergreen trees and shrubs of Old World tropics
octad,the cardinal number that is the sum of seven and one
octet,the cardinal number that is the sum of seven and one
oddly,in a manner differing from the usual or expected
odist,a poet who writes odes
odium,state of disgrace resulting from detestable behavior
offal,viscera and trimmings of a butchered animal often considered inedible by humans
offer,the verbal act of offering
often,many times at short intervals
ogive,front consisting of the conical head of a missile or rocket that protects the payload from heat during its passage through the atmosphere
ogler,a viewer who gives a flirtatious or lewd look at another person
ohmic,of or relating to or measured in ohms
oiled,"cover with oil, as if by rubbing"
oiler,a worker who oils engines or machinery
okapi,similar to the giraffe but smaller with much shorter neck and stripe on the legs
olden,long past
older,advanced in years; (`aged' is pronounced as two syllables)
olein,a naturally occurring glyceride of oleic acid that is found in fats and oils
olive,small ovoid fruit of the European olive tree; important food and source of oil
ology,an informal word (abstracted from words with this ending) for some unidentified branch of knowledge
omaha,a member of the Siouan people formerly living in the Missouri river valley in northeastern Nebraska
omani,a native or inhabitant of Oman
omega,the ending of a series or sequence; --Revelation
onion,the bulb of an onion plant
onset,the beginning or early stages
ootid,mature ovum after penetration by sperm but before the formation of a zygote
opera,a drama set to music; consists of singing with orchestral accompaniment and an orchestral overture and interludes
opine,express one's opinion openly and without fear or hesitation
opium,an addictive narcotic extracted from seed capsules of the opium poppy
optic,the organ of sight
orach,any of various herbaceous plants of the genus Atriplex that thrive in deserts and salt marshes
orang,large long-armed ape of Borneo and Sumatra having arboreal habits
orate,talk pompously
orbed,move in an orbit
orbit,the (usually elliptical) path described by one celestial body in its revolution about another
order,"(often plural) a command given by a superior (e.g., a military or law enforcement officer) that must be obeyed"
oread,(Greek mythology) one of the mountain nymphs
organ,a fully differentiated structural and functional unit in an animal that is specialized for some particular function
oriel,a projecting bay window corbeled or cantilevered out from a wall
orion,(Greek mythology) a giant Boeotian hunter who pursued the Pleiades and was eventually slain by Artemis; was then placed in the sky as a constellation
oriya,a member of a people in India living in Orissa and neighboring areas
orlop,the fourth or lowest deck
ormer,an abalone found near the Channel Islands
orris,German iris having large white flowers with lavender-tinged falls and a fragrant rhizome
oryza,rice
osage,a member of the Siouan people formerly living in Missouri in the valleys of the Missouri and Osage rivers; oil was found on Osage lands early in the 20th century
oscan,an Oscan-speaking member of an ancient people of Campania
oscar,an annual award by the Academy of Motion Picture Arts and Sciences for achievements in motion picture production and performance
osier,flexible twig of a willow tree
other,not the same one or ones already mentioned or implied; - the White Queen
ottar,essential oil or perfume obtained from flowers
otter,the fur of an otter
ouija,a board with the alphabet on it; used with a planchette to spell out supernatural messages
ounce,a unit of apothecary weight equal to 480 grains or one twelfth of a pound
outdo,be or do something to a greater degree
outed,to state openly and publicly one's homosexuality
outer,being on the outside or further from a center
outgo,money paid out; an amount spent
outre,conspicuously or grossly unconventional or unusual
ouzel,common black European thrush
ovary,the organ that bears the ovules of a flower
ovate,of a leaf shape; egg-shaped with the broader end at the base
overt,open and observable; not secret or hidden
ovine,of or pertaining to or of the nature of or characteristic of a sheep or sheep
ovoid,an egg-shaped object
ovolo,a convex molding having a cross section in the form of a quarter of a circle or of an ellipse
ovule,a small body that contains the female germ cell of a plant; develops into a seed after fertilization
owing,be obliged to pay or repay
owlet,young owl
owner,(law) someone who owns (is legal possessor of) a business
oxbow,the land inside an oxbow bend in a river
oxeye,any North American shrubby perennial herb of the genus Heliopsis having large yellow daisylike flowers
oxide,any compound of oxygen with another element or a radical
oxime,any compound containing the group -C=NOH
oxlip,Eurasian primrose with yellow flowers clustered in a one-sided umbel
ozena,a chronic disease of the nose characterized by a foul-smelling nasal discharge and atrophy of nasal structures
ozone,a colorless gas (O3) soluble in alkalis and cold water; a strong oxidizing agent; can be produced by electric discharge in oxygen or by the action of ultraviolet radiation on oxygen in the stratosphere (where it acts as a screen for ultraviolet radiation)
paced,walk with slow or fast paces
pacer,a horse used to set the pace in racing
padda,a genus of Ploceidae
paddy,(ethnic slur) offensive term for a person of Irish descent
padre,a chaplain in one of the military services
paean,a formal expression of praise
pagan,a person who does not acknowledge your god
pager,an electronic device that generates a series of beeps when the person carrying it is being paged
paint,a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating
paisa,a fractional monetary unit in Bangladesh and India and Nepal and Pakistan
palas,East Indian tree bearing a profusion of intense vermilion velvet-textured blooms and yielding a yellow dye
palau,a republic in the western central Pacific Ocean in association with the United States
paled,"turn pale, as if in fear"
paler,very light colored; highly diluted with white
pales,a wooden strip forming part of a fence
pally,(used colloquially) having the relationship of friends or pals
palmy,very lively and profitable
palsy,loss of the ability to move a body part
panax,perennial herbs of eastern North America and Asia having aromatic tuberous roots: ginseng
panda,large black-and-white herbivorous mammal of bamboo forests of China and Tibet; in some classifications considered a member of the bear family or of a separate family Ailuropodidae
paned,make a sweeping movement
panel,sheet that forms a distinct (usually flat and rectangular) section or component of something
panic,an overwhelming feeling of fear and anxiety
pansy,large-flowered garden plant derived chiefly from the wild pansy of Europe and having velvety petals of various colors
panto,an abbreviation of pantomime
pants,underpants worn by women
panty,short underpants for women or children (usually used in the plural)
papal,proceeding from or ordered by or subject to a pope or the papacy regarded as the successor of the Apostles
papaw,small tree native to the eastern United States having oblong leaves and fleshy fruit
paper,a material made of cellulose pulp derived mainly from wood or rags or certain grasses
papio,baboons
pappi,calyx composed of scales or bristles or featherlike hairs in plants of the Compositae such as thistles and dandelions
parch,cause to wither or parch from exposure to heat
parer,a manicurist who trims the fingernails
paris,the capital and largest city of France; and international center of culture and commerce
parka,a kind of heavy jacket (`windcheater' is a British term)
parky,appreciably or disagreeably cold
parry,(fencing) blocking a lunge or deflecting it with a circular motion of the sword
parse,analyze syntactically by assigning a constituent structure to (a sentence)
parsi,a member of a monotheistic sect of Zoroastrian origin; descended from the Persians; now found in western India
party,an organization to gain political power
parus,type genus of the family Paridae
pasch,the Jewish feast of the Passover
pasha,a civil or military authority in Turkey or Egypt
passe,out of fashion
paste,any mixture of a soft and malleable consistency
pasty,small meat pie or turnover
patas,reddish long-tailed monkey of west Africa
patch,a small contrasting part of something
pater,an informal use of the Latin word for father; sometimes used by British schoolboys or used facetiously
patio,usually paved outdoor area adjoining a residence
patsy,a person who is gullible and easy to take advantage of
patty,small flat mass of chopped food
pause,a time interval during which there is a temporary cessation of something
pavan,music composed for dancing the pavane
pavis,(Middle Ages) a large heavy oblong shield protecting the whole body; originally carried but sometimes set up in permanent position
pawer,a person who handles or caresses in a clumsy or overfamiliar manner
pawky,cunning and sly; - Punch
payed,"give money, usually in exchange for goods or services"
payee,a person to whom money is paid
payer,a person who pays money for something
peace,the state prevailing during the absence of war
peach,cultivated in temperate regions
peaky,having or as if having especially high-pitched spots
pearl,a smooth lustrous round structure inside the shell of a clam or oyster; much valued as a jewel
peaty,of or pertaining to or of the nature of peat
peavy,a stout lever with a sharp spike; used for handling logs
pecan,wood of a pecan tree
pecos,a tributary of the Rio Grande that flows southeastward from New Mexico through western Texas
pedal,a sustained bass note
pedes,the part of the leg of a human being below the ankle joint
peeve,an annoyed or irritated mood
pekan,large dark brown North American arboreal carnivorous mammal
pekoe,a superior grade of black tea; grown in India and Sri Lanka and Java
pelew,a chain of more than 200 islands about 400 miles long in the western central Pacific Ocean
penal,of or relating to punishment
pence,a fractional monetary unit of Ireland and the United Kingdom; equal to one hundredth of a pound
pengo,formerly the basic unit of money in Hungary until it was replaced by the forint in 1946
penis,the male organ of copulation (`member' is a euphemism)
penni,100 pennia formerly equaled 1 markka in Finland
penny,a fractional monetary unit of Ireland and the United Kingdom; equal to one hundredth of a pound
peony,any of numerous plants widely cultivated for their showy single or double red or pink or white flowers
peppy,marked by lively action
perca,type genus of the Percidae
perch,support consisting of a branch or rod that serves as a resting place (especially for a bird)
percy,United States writer whose novels explored human alienation (1916-1990)
peril,a source of danger; a possibility of incurring loss or misfortune
perky,characterized by liveliness and lightheartedness
perry,United States philosopher (1876-1957)
pesah,(Judaism) a Jewish festival (traditionally 8 days from Nissan 15) celebrating the exodus of the Israelites from Egypt
pesky,causing irritation or annoyance
petal,part of the perianth that is usually brightly colored
peter,disciple of Jesus and leader of the Apostles; regarded by Catholics as the vicar of Christ on earth and first Pope
petty,larceny of property having a value less than some amount (the amount varies by locale)
pewee,small olive-colored woodland flycatchers of eastern North America
pewit,small black-headed European gull
phage,a virus that is parasitic (reproduces itself) in bacteria
phase,any distinct time period in a sequence of events
phial,a small bottle that contains a drug (especially a sealed sterile container for injection by needle)
phoca,type genus of the Phocidae: earless seals
phone,electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds
phony,a person who professes beliefs and opinions that he or she does not hold in order to conceal his or her real feelings or motives
photo,a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material
phyla,(linguistics) a large group of languages that are historically related
phyle,a tribe of ancient Athenians
physa,any member of the genus Physa
piano,a keyboard instrument that is played by depressing keys that cause hammers to strike tuned strings and produce sounds
picea,a genus of temperate and Arctic evergreen trees (see spruce)
pichi,Peruvian shrub with small pink to lavender tubular flowers; leaves yield a tonic and diuretic
picky,exacting especially about details
picot,"an edging of small loops, as on lace or ribbon"
picul,a unit of weight used in some parts of Asia; approximately equal to 133 pounds (the load a grown man can carry)
picus,type genus of Picidae
piece,a separate part of a whole
piety,righteousness by virtue of being pious
piggy,a young pig
pigmy,an unusually small individual
pilar,of or relating to a hair
pilau,rice cooked in well-seasoned broth with onions or celery and usually poultry or game or shellfish and sometimes tomatoes
pilea,low-growing tropical perennials grown for their stingless foliage
piled,arrange in stacks
piles,pain caused by venous swelling at or inside the anal sphincter
pilot,someone who is licensed to operate an aircraft in flight
pilus,any of the cylindrical filaments characteristically growing from the epidermis of a mammal
pinch,a painful or straitened circumstance
pined,have a desire for something or someone who is not present
pinky,the finger farthest from the thumb
pinna,division of a usually pinnately divided leaf
pinny,a sleeveless dress resembling an apron; worn over other clothing
pinon,any of several low-growing pines of western North America
pinto,a spotted or calico horse or pony
pinus,type genus of the Pinaceae: large genus of true pines
pious,having or showing or expressing reverence for a deity
pipal,fig tree of India noted for great size and longevity; lacks the prop roots of the banyan; regarded as sacred by Buddhists
piped,utter a shrill cry
piper,someone who plays the bagpipe
pipet,measuring instrument consisting of a graduated glass tube used to measure or transfer precise volumes of a liquid by drawing the liquid up into the tube
pipit,a songbird that lives mainly on the ground in open country; has streaky brown plumage
pipra,type genus of the Pipridae containing the typical manakins
pique,tightly woven fabric with raised cords
pisum,small genus of variable annual Eurasian vines: peas
pitch,the property of sound that varies with variation in the frequency of vibration
pithy,concise and full of meaning; ; - Hervey Allen
pitta,any bird of the genus Pitta; brilliantly colored chiefly terrestrial birds with short wings and tail and stout bills
pivot,the person in a rank around whom the others wheel and maneuver
pixie,(folklore) fairies that are somewhat mischievous
pizza,Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese
place,a point located with respect to surface features of some region
plage,the beach at a seaside resort
plaid,a cloth having a crisscross design
plain,extensive tract of level open land
plait,a hairdo formed by braiding or twisting the hair
plane,an aircraft that has a fixed wing and is powered by propellers or jets
plank,a stout length of sawn timber; made in a wide variety of sizes and used for many purposes
plant,buildings for carrying on industrial labor
plash,the sound like water splashing
plasm,the protoplasm of the germ cells that contains chromosomes and genes
plate,(baseball) base consisting of a rubber slab where the batter stands; it must be touched by a base runner in order to score
platy,small stocky Mexican fish; popular aquarium fish
plaza,a public square with room for pedestrians
plead,appeal or request earnestly
pleat,any of various types of fold formed by doubling fabric back upon itself and then pressing or stitching into shape
plebe,a military trainee (as at a military academy)
plebs,one of the common people
plica,a folded part (as in skin or muscle)
plied,"give what is desired or needed, especially support, food or sustenance"
plier,someone who plies a trade
plies,one of the strands twisted together to make yarn or rope or thread; often used in combination
pliny,Roman writer and nephew of Pliny the Elder; author of books of letters that commented on affairs of the day (62-113)
ploce,(rhetoric) repetition to gain special emphasis or extend meaning
pluck,the trait of showing courage and determination in spite of possible loss or injury
plumb,the metal bob of a plumb line
plume,anything that resembles a feather in shape or lightness
plump,the sound of a sudden heavy fall
plumy,resembling a plume
plunk,a hollow twanging sound
plush,a fabric with a nap that is longer and softer than velvet
pluto,a cartoon character created by Walt Disney
plyer,someone who plies a trade
poach,hunt illegally
podgy,short and plump
poesy,literature in metrical form
pogge,northern Atlantic sea poacher
poilu,a French soldier (especially in World War I)
point,a geometric element that has position but no extension
poise,a cgs unit of dynamic viscosity equal to one dyne-second per square centimeter; the viscosity of a fluid in which a force of one dyne per square centimeter maintains a velocity of 1 centimeter per second
poked,poke or thrust abruptly
poker,fire iron consisting of a metal rod with a handle; used to stir a fire
pokey,a correctional institution used to detain persons who are in the lawful custody of the government (either accused persons awaiting trial or convicted persons serving a sentence)
polar,having a pair of equal and opposite charges
poler,a draft horse harnessed alongside the shaft or pole of a vehicle
polio,an acute viral disease marked by inflammation of nerve cells of the brain stem and spinal cord
polka,music performed for dancing the polka
polos,Venetian traveler who explored Asia in the 13th century and served Kublai Khan (1254-1324)
polyp,a small vascular growth on the surface of a mucous membrane
pommy,a disparaging term for a British person
ponca,a member of the Siouan people of the Missouri river valley in northeastern Nebraska
ponce,a man who is effeminate in his manner and fussy in the way he dresses
pongo,type genus of the family Pongidae: orangutans
pooch,informal terms for dogs
poppy,annual or biennial or perennial herbs having showy flowers
porch,a structure attached to the exterior of a building often forming a covered entrance
pored,direct one's attention on something
porgy,lean flesh of fish found in warm waters of southern Atlantic coast of the United States
porta,an aperture or hole that opens into a bodily cavity
porto,port city in northwest Portugal; noted for port wine
poser,a person who habitually pretends to be something he is not
posit,(logic) a proposition that is accepted as true in order to provide a basis for logical reasoning
posse,a temporary police force
potto,arboreal fruit-eating mammal of tropical America with a long prehensile tail
potty,a plumbing fixture for defecation and urination
pouch,a small or medium size container for holding or carrying things
pound,16 ounces avoirdupois
power,possession of controlling influence
poyou,Argentine armadillo with six movable bands and hairy underparts
prank,acting like a clown or buffoon
prate,idle or foolish and irrelevant talk
prawn,any of various edible decapod crustaceans
praya,colonial siphonophore of up to 130 ft long
preen,clean with one's bill
press,the state of demanding notice or attention
prexy,the head administrative officer of a college or university
price,the property of having material worth (often indicated by the amount of money something would bring if sold)
prick,insulting terms of address for people who are stupid or irritating or ridiculous
pride,a feeling of self-respect and personal worth
pried,"to move or force, especially in an effort to get something open; :"
prima,used primarily as eating apples
prime,a number that has no factor but itself and 1
primp,dress or groom with elaborate care
prink,dress very carefully and in a finicky manner
print,"the text appearing in a book, newspaper, or other printed publication"
prion,(microbiology) an infectious protein particle similar to a virus but lacking nucleic acid; thought to be the agent responsible for scrapie and other degenerative diseases of the nervous system
prior,the head of a religious order; in an abbey the prior is next below the abbot
prism,a polyhedron with two congruent and parallel faces (the bases) and whose lateral faces are parallelograms
privy,a room or building equipped with one or more toilets
prize,something given for victory or superiority in a contest or competition or for winning a lottery
probe,an inquiry into unfamiliar or questionable activities
prone,having a tendency (to); often used in combination
prong,a pointed projection
proof,any factual evidence that helps to establish the truth of something
props,proper respect
prose,ordinary writing as distinguished from verse
prosy,lacking wit or imagination
proto,indicating the first or earliest or original
prove,be shown or be found to be
prowl,the act of prowling (walking about in a stealthy manner)
proxy,a person authorized to act for another
prude,a person excessively concerned about propriety and decorum
prune,dried plum
psalm,one of the 150 lyrical poems and prayers that comprise the Book of Psalms in the Old Testament; said to have been written by David
psoas,either of two muscles of the abdomen and pelvis that flex the trunk and rotate the thigh
pubes,the lower part of the abdomen just above the external genital organs
pubic,relating or near the pubis
pubis,one of the three sections of the hipbone; together these two bones form the front of the pelvis
pucka,absolutely first class and genuine
pudge,a short fat person
pudgy,short and plump
puffy,being puffed out; used of hair style or clothing
pulex,type genus of the Pulicidae
pulpy,like a pulp or overripe; not having stiffness
pulse,(electronics) a sharp transient wave in the normal electrical state (or a series of such transients)
punch,(boxing) a blow with the fist
punic,the Phoenician dialect of ancient Carthage
punky,minute two-winged insect that sucks the blood of mammals and birds and other insects
pupal,of the insects in the chrysalis (cocoon) or post larval stage
pupil,a learner who is enrolled in an educational institution
puppy,a young dog
puree,food prepared by cooking and straining or processed in a blender
purer,free of extraneous elements of any kind
purge,the act of clearing yourself (or another) from some stigma or charge
purse,a container used for carrying money and small personal items or accessories (especially by women)
pursy,breathing laboriously or convulsively
pussy,obscene terms for female genitals
putty,a dough-like mixture of whiting and boiled linseed oil; used especially to patch woodwork or secure panes of glass
pygmy,an unusually small individual
pylon,a tower for guiding pilots or marking the turning point in a race
pyrex,a borosilicate glass with a low coefficient of expansion; used for heat-resistant glassware in cooking and chemistry
pyrus,fruit trees native to the Old World: pears
pyxie,creeping evergreen shrub having narrow overlapping leaves and early white star-shaped flowers; of the pine barrens of New Jersey and the Carolinas
pyxis,fruit of such plants as the plantain; a capsule whose upper part falls off when the seeds are released
quack,an untrained person who pretends to be a physician and who dispenses medical advice
quaff,a hearty draft
quail,flesh of quail; suitable for roasting or broiling if young; otherwise must be braised
quake,shaking and vibration at the surface of the earth resulting from underground movement along a fault plane of from volcanic activity
qualm,uneasiness about the fitness of an action
quark,"(physics) hypothetical truly fundamental particle in mesons and baryons; there are supposed to be six flavors of quarks (and their antiquarks), which come in pairs; each has an electric charge of +2/3 or -1/3"
quart,a United States liquid unit equal to 32 fluid ounces; four quarts equal one gallon
quash,put down by force or intimidation
quasi,having some resemblance
queen,the only fertile female in a colony of social insects such as bees and ants and termites; its function is to lay eggs
queer,offensive term for an openly homosexual man
quell,suppress or crush completely
quern,a primitive stone mill for grinding corn by hand
query,an instance of questioning
quest,a search for an alternative that meets cognitive criteria
queue,a line of people or vehicles waiting for something
quick,any area of the body that is highly sensitive to pain (as the flesh underneath the skin or a fingernail or toenail)
quiet,a period of calm weather
quiff,a prominent forelock (especially one brushed upward from the forehead)
quill,pen made from a bird's feather
quilt,bedding made of two layers of cloth filled with stuffing and stitched together
quint,the cardinal number that is the sum of four and one
quipu,calculator consisting of a cord with attached cords; used by ancient Peruvians for calculating and keeping records
quira,hard heavy red wood of a quira tree
quire,a quantity of paper; 24 or 25 sheets
quirk,a strange attitude or habit
quirt,whip with a leather thong at the end
quite,to a degree (not used with a negative)
quits,put an end to a state or an activity
quoin,expandable metal or wooden wedge used by printers to lock up a form within a chase
quoit,game equipment consisting of a ring of iron or circle of rope used in playing the game of quoits
quota,a prescribed number
quote,a punctuation mark used to attribute the enclosed text to someone else
rabat,the capital of Morocco; located in the northwestern on the Atlantic coast
rabbi,spiritual leader of a Jewish congregation; qualified to expound and apply Jewish law
rabid,of or infected by rabies
racer,someone who drives racing cars at high speeds
racon,"a device that, on receiving radar signals, transmits coded signals in response to help navigators determine their position"
radar,measuring instrument in which the echo of a pulse of microwave radiation is used to detect and locate distant objects
radii,the length of a line segment between the center and circumference of a circle or sphere
radio,medium for communication
radix,(numeration system) the positive integer that is equivalent to one in the next higher counting place
radon,a radioactive gaseous element formed by the disintegration of radium; the heaviest of the inert gasses; occurs naturally (especially in areas over granite) and is considered a hazard to health
rainy,(of weather) wet by periods of rain
raise,the amount a salary is increased
rajah,a prince or king in India
rally,a large gathering of people intended to arouse enthusiasm
ramed,strike or drive against with a heavy impact
ramie,tall perennial herb of tropical Asia with dark green leaves; cultivated for the fiber from its woody stems that resembles flax
ramus,the posterior part of the mandible that is more or less vertical
ranch,farm consisting of a large tract of land along with facilities needed to raise livestock (especially cattle)
randy,feeling great sexual desire
range,an area in which something acts or operates or has power or control:
rangy,tall and thin and having long slender limbs
ranid,insectivorous usually semiaquatic web-footed amphibian with smooth moist skin and long hind legs
raper,someone who forces another to have sexual intercourse
raphe,a ridge that forms a seam between two parts
rapid,a part of a river where the current is very fast
raspy,unpleasantly harsh or grating in sound
ratch,mechanical device consisting of a toothed wheel or rack engaged with a pawl that permits it to move in only one direction
rated,assign a rank or rating to
ratel,nocturnal badger-like carnivore of wooded regions of Africa and southern Asia
ratio,the relative magnitudes of two quantities (usually expressed as a quotient)
