word,definition
maimer,a person who mutilates or destroys or disfigures or cripples
mainly,for the most part
making,the act that results in something coming to be
malady,any unwholesome or desperate condition
malaga,a port city and resort in Andalusia in southern Spain on the Mediterranean
malice,feeling a need to see others suffer
malign,speak unfavorably about
mallee,any of several low-growing Australian eucalypts
mallet,a sports implement with a long handle and a head like a hammer; used in sports (polo or croquet) to hit a ball
mallow,any of various plants of the family Malvaceae
malope,western Mediterranean annual having deep purple-red flowers subtended by 3 large cordate bracts
maltha,a thick black tar intermediate between petroleum and asphalt
mammal,any warm-blooded vertebrate having the skin more or less covered with hair; young are born alive except for the small subclass of monotremes and nourished with milk
mammea,American and Asiatic trees having edible one-seeded fruit
mammee,tropical American tree having wood like mahogany and sweet edible egg-shaped fruit; in some classifications placed in the genus Calocarpum
mammon,wealth regarded as an evil influence
mammut,extinct type genus of the Mammutidae: mastodons
manage,be successful; achieve a goal
manchu,a member of the Manchu speaking people of Mongolian race of Manchuria; related to the Tungus; conquered China in the 17th century
maness,a Persian prophet who founded Manichaeism (216-276)
manful,possessing qualities befitting a man
manger,a container (usually in a barn or stable) from which cattle or horses feed
mangle,clothes dryer for drying and ironing laundry by passing it between two heavy heated rollers
maniac,an insane person
manila,a strong paper or thin cardboard with a smooth light brown finish made from e.g. Manila hemp
manioc,a starch made by leaching and drying the root of the cassava plant; the source of tapioca; a staple food in the tropics
manner,how something is done or how it happens
manque,unfulfilled or frustrated in realizing an ambition
mantel,shelf that projects from wall above fireplace
mantes,predacious long-bodied large-eyed insect of warm regions; rests with forelimbs raised as in prayer
mantic,resembling or characteristic of a prophet or prophecy
mantid,predacious long-bodied large-eyed insect of warm regions; rests with forelimbs raised as in prayer
mantis,predacious long-bodied large-eyed insect of warm regions; rests with forelimbs raised as in prayer
mantle,the cloak as a symbol of authority
mantra,a commonly repeated word or phrase
mantua,loose gown of the 17th and 18th centuries
manual,a small handbook
manure,any animal or plant material used to fertilize land especially animal excreta usually with litter material
mapper,a clerk who marks data on a chart
maquis,a guerrilla fighter in the French underground in World War II
maraca,a percussion instrument consisting of a hollow gourd containing pebbles or beans; often played in pairs
marang,Philippine tree similar to the breadfruit tree bearing edible fruit
maraud,a sudden short attack
marble,a hard crystalline metamorphic rock that takes a high polish; used for sculpture and as building material
marcel,a hairdo characterized by deep regular waves that are made by a heated curling iron
margay,small spotted wildcat found from Texas to Brazil
margin,the boundary line or the area immediately inside the boundary
marian,of or relating to or venerating the Virgin Mary
marina,a fancy dock for small yachts and cabin cruisers
marine,a member of the United States Marine Corps
marked,attach a tag or label to
marker,some conspicuous object used to distinguish or mark something
market,the world of commercial activity where goods and services are bought and sold
markka,formerly the basic unit of money in Finland
markup,the amount added to the cost to determine the asking price
marlin,large long-jawed oceanic sport fishes; related to sailfishes and spearfishes; not completely cold-blooded i.e. able to warm their brains and eyes
marmot,stocky coarse-furred burrowing rodent with a short bushy tail found throughout the northern hemisphere; hibernates in winter
maroon,a person who is stranded (as on an island)
marque,a name given to a product or service
marrow,the fatty network of connective tissue that fills the cavities of bones
marshy,(of soil) soft and watery
marten,agile slender-bodied arboreal mustelids somewhat larger than weasels
martes,martens
martin,French bishop who is a patron saint of France (died in 397)
martyr,one who suffers for the sake of principle
marvel,something that causes feelings of wonder
mascot,a person or animal that is adopted by a team or other group as a symbolic figure
masher,a man who is aggressive in making amorous advances to women
mashie,middle-distance iron
masjid,(Islam) a Muslim place of worship
masked,hide under a false appearance
masker,a participant in a masquerade
masora,a vast body of textual criticism of the Hebrew Scriptures including notes on features of writing and on the occurrence of certain words and on variant sources and instructions for pronunciation and other comments that were written between AD 600 and 900 by Jewish scribes in the margins or at the end of texts
masque,a party of guests wearing costumes and masks
masser,formed of separate units gathered into a mass or whole
massif,a block of the earth's crust bounded by faults and shifted to form peaks of a mountain range
masted,having or furnished with a mast; often used in combination; - S.E.Morrison
master,an artist of consummate skill
mastic,an aromatic exudate from the mastic tree; used chiefly in varnishes
mating,the act of pairing a male and female for reproductive purposes
matins,the first canonical hour; at daybreak
matric,admission to a group (especially a college or university)
matrix,(mathematics) a rectangular array of quantities or expressions set out by rows and columns; treated as a single element and manipulated according to rules
matron,a married woman (usually middle-aged with children) who is staid and dignified
matted,twist together or entwine into a confusing mass
matter,a vaguely specified concern
mature,develop and reach maturity; undergo maturation
matzos,brittle flat bread eaten at Passover
mauler,a fighter who batters the opponent
maundy,a public ceremony on Maundy Thursday when the monarch distributes Maundy money
mauser,German arms manufacturer and inventor of a repeating rifle and pistol (1838-1914)
maxima,the largest possible quantity
mayaca,small genus of delicate mossy bog plants having white or violet flowers
mayday,an internationally recognized distress signal via radiotelephone (from the French m'aider)
mayhap,by chance
mayhem,the willful and unlawful crippling or mutilation of another person
maypop,of southern United States; having an insipid berry the size of a hen egg
mazama,brockets
meadow,a field where grass or alfalfa are grown to be made into hay
meager,deficient in amount or quality or extent
meagre,deficient in amount or quality or extent
meaned,mean or intend to express or convey
meaner,approximating the statistical norm or average or expected value
meanly,in a nasty ill-tempered manner
measly,contemptibly small in amount
meatus,a natural body passageway
meddle,intrude in other people's affairs or business; interfere unwantedly
medial,dividing an animal into right and left halves
median,the value below which 50% of the cases fall
medici,aristocratic Italian family of powerful merchants and bankers who ruled Florence in the 15th century
medico,a student in medical school
medina,a city in western Saudi Arabia; site of the tomb of Muhammad; the second most holy city of Islam
medium,a means or instrumentality for storing or communicating information
medlar,small deciduous tree of southern Africa having edible fruit
medley,a musical composition consisting of a series of songs or other musical pieces from various sources
medusa,(Greek mythology) a woman transformed into a Gorgon by Athena; she was slain by Perseus
meekly,in a submissive or spiritless manner
meeter,a person who is present and participates in a meeting
megilp,a medium for oil-paints; linseed oil mixed with mastic varnish or turpentine
megohm,a unit of resistance equal to one million ohms
megrim,a severe recurring vascular headache; occurs more frequently in women than men
melena,abnormally dark tarry feces containing blood (usually from gastrointestinal bleeding)
mellon,United States financier and philanthropist (1855-1937)
mellow,"soften, make mellow"
melody,a succession of notes forming a distinctive sequence
meloid,beetle that produces a secretion that blisters the skin
melosa,South American herb with sticky glandular foliage; source of madia oil
melted,"reduce or cause to be reduced from a solid to a liquid state, usually by heating"
melter,a worker who melts substances (metal or wax etc.)
member,one of the persons who compose a social group (especially individuals who have joined and participate in a group organization)
memoir,an account of the author's personal experiences
memory,something that is remembered
menace,something that is a source of danger
menage,a social unit living together
mender,a skilled worker who mends or repairs things
menhir,a tall upright megalith; found primarily in England and northern France
menial,a domestic servant
meninx,a membrane (one of 3) that envelops the brain and spinal cord
mensal,the dining table
menses,the monthly discharge of blood from the uterus of nonpregnant women from puberty to menopause; ; --Hippocrates; --Aristotle
mental,involving the mind or an intellectual process
mentha,mint plants
mentor,a wise and trusted guide and advisor
mentum,a projection like a chin formed by the sepals and base of the column in some orchids
menura,type and sole genus of the family Menuridae
mercer,a dealer in textiles (especially silks)
merely,and nothing more
merger,the combination of two or more commercial companies
mergus,mergansers
merida,the capital of the Mexican state of Yucatan
merino,white sheep originating in Spain and producing a heavy fleece of exceptional quality
merlin,(Arthurian legend) the magician who acted as King Arthur's advisor
merlon,a solid section between two crenels in a crenelated battlement
merman,United States singer who appeared in several musical comedies (1909-1984)
merops,type genus of the Meropidae
merton,United States religious and writer (1915-1968)
mescal,a small spineless globe-shaped cactus; source of mescal buttons
meshed,the holy city of Shiite Muslims; located in northeastern Iran
mesial,being in or directed toward the midline or mesial plane of the body
meteor,(astronomy) any of the small solid extraterrestrial bodies that hits the earth's atmosphere
method,"a way of doing something, especially a systematic way; implies an orderly logical arrangement (usually in steps)"
methyl,the univalent radical CH3- derived from methane
metier,an asset of special worth or utility
metric,"a function of a topological space that gives, for any two points in the space, a value equal to the distance between them"
mettle,the courage to carry on
mezcal,a small spineless globe-shaped cactus; source of mescal buttons
miasma,an unwholesome atmosphere
mickey,(ethnic slur) offensive term for a person of Irish descent
mickle,(often followed by `of') a large number or amount or extent
micmac,a member of the Algonquian people inhabiting the Maritime Provinces of Canada
micron,a metric unit of length equal to one millionth of a meter
midday,the middle of the day
midden,(archeology) a mound of domestic refuse containing shells and animal bones marking the site of a prehistoric settlement
middle,an area that is approximately central within some larger region
midget,a person who is markedly small
midrib,the vein in the center of a leaf
midway,the place at a fair or carnival where sideshows and similar amusements are located
mightn,
mighty,having or showing great strength or force or intensity; ; ; - Bulwer-Lytton
mihrab,(Islam) a design in the shape of niche in a Muslim prayer rug; during worship the niche must be pointed toward Mecca
mikado,the emperor of Japan; when regarded as a religious leader the emperor is called tenno
milady,an English noblewoman
milder,moderate in type or degree or effect or force; far from extreme
mildew,the process of becoming mildewed
mildly,to a moderate degree
milieu,the environmental condition
milium,a small whitish lump in the skin due to a clogged sebaceous gland
milker,cattle that are reared for their milk
milled,move about in a confused manner
miller,United States bandleader of a popular big band (1909-1944)
millet,"any of various small-grained annual cereal and forage grasses of the genera Panicum, Echinochloa, Setaria, Sorghum, and Eleusine"
milord,a term of address for an English lord
milvus,a genus including the common European kits
mimosa,evergreen Australasian tree having white or silvery bark and young leaves and yellow flowers
mincer,a kitchen utensil that cuts or chops food (especially meat) into small pieces
minded,"be offended or bothered by; take offense with, be bothered by"
minder,someone (usually in totalitarian countries) who is assigned to watch over foreign visitors
mingle,to bring or combine together or with something else
minify,make smaller
minima,the smallest possible quantity
mining,the act of extracting ores or coal etc from the earth
minion,a servile or fawning dependant
minium,a reddish oxide of lead (Pb3O4) used as a pigment in paints and in glass and ceramics
minnow,very small European freshwater fish common in gravelly streams
minoan,a Cretan who lived in the bronze-age culture of Crete about 3000-1100 BC
minter,a skilled worker who coins or stamps money
minuet,a stately court dance in the 17th century
minute,a unit of time equal to 60 seconds or 1/60th of an hour
minyan,the quorum required by Jewish law to be present for public worship (at least ten males over thirteen years of age)
mirage,an optical illusion in which atmospheric refraction by a layer of hot air distorts or inverts reflections of distant objects
mirish,little known Kamarupan languages
mirror,polished surface that forms images by reflecting light
miscue,a faulty shot in billiards; the cue tip slips off the cue ball
misery,a state of ill-being due to affliction or misfortune
misfit,someone unable to adapt to their circumstances
mishap,an unpredictable outcome that is unfortunate
mislay,place (something) where one cannot find it again
misled,lead someone in the wrong direction or give someone wrong directions
missal,(Roman Catholic Church) a book containing all the prayers and responses needed to celebrate Mass throughout the year
missis,informal term of address for someone's wife
misted,become covered with mist
mister,a form of address for a man
misuse,improper or excessive use
mithra,ancient Persian god of light and truth; sun god
mitral,of or relating to or located in or near the mitral valve
mitten,glove that encases the thumb separately and the other four fingers together
mizzen,"third mast from the bow in a vessel having three or more masts; the after and shorter mast of a yawl, ketch, or dandy"
mizzle,very light rain; stronger than mist but less than a shower
mobcap,large high frilly cap with a full crown; formerly worn indoors by women
mobile,a river in southwestern Alabama; flows into Mobile Bay
mobula,type genus of the Mobulidae
mocker,someone who jeers or mocks or treats something with contempt or calls out in derision
modern,a contemporary person
modest,marked by simplicity; having a humble opinion of yourself
modify,make less severe or harsh or extreme
modish,in the current fashion or style
module,one of the inherent cognitive or perceptual powers of the mind
mohair,fabric made with yarn made from the silky hair of the Angora goat
mohave,a member of the North American Indian people formerly living in the Colorado river valley in Arizona and Nevada and California
mohawk,a member of the Iroquoian people formerly living along the Mohawk River in New York State
moiety,one of two (approximately) equal parts
moiles,work hard
molder,break down
molest,harass or assault sexually; make indecent advances to
moline,a town in northwest Illinois on the Mississippi River
mollie,popular aquarium fish
moloch,a tyrannical power to be propitiated by human subservience or sacrifice; ; - Norman Douglas
molten,"reduce or cause to be reduced from a solid to a liquid state, usually by heating"
molter,an animal (especially birds and arthropods and reptiles) that periodically shed their outer layer (feathers or cuticle or skin or hair)
mombin,common tropical American shrub or small tree with purplish fruit
moment,a particular point in time
momism,excessive protection
monday,the second day of the week; the first working day
monera,prokaryotic bacteria and blue-green algae and various primitive pathogens; because of lack of consensus on how to divide the organisms into phyla informal names are used for the major divisions
monger,someone who purchases and maintains an inventory of goods to be sold
mongol,a member of the nomadic peoples of Mongolia
monism,the doctrine that reality consists of a single basic substance or element
monkey,any of various long-tailed primates (excluding the prosimians)
monody,music consisting of a single vocal part (usually with accompaniment)
montes,a gambling card game of Spanish origin; 3 or 4 cards are dealt face up and players bet that one of them will be matched before the others as the cards are dealt from the pack one at a time
montia,small genus of densely tufted annual herbs; north temperate regions and South America and tropical Africa and Asia
mooing,"make a low noise, characteristic of bovines"
mooned,have dreamlike musings or fantasies while awake
mooter,of no legal significance (as having been previously decided)
moping,move around slowly and aimlessly
mopper,a worker who uses a mop to clean a surface
moppet,a little girl (usually one you are fond of)
morale,a state of individual psychological well-being based upon a sense of confidence and usefulness and purpose
morals,motivation based on ideas of right and wrong
morass,a soft wet area of low-lying land that sinks underfoot
morbid,suggesting an unhealthy mental state
mordva,a member of the agricultural people living in the central Volga provinces of European Russia
moreen,a heavy fabric of wool (or wool and cotton) used mostly in upholstery or for curtains
morgan,United States anthropologist who studied the Seneca (1818-1881)
morgen,a South African unit of measure equal to about 2 acres
morgue,a building (or room) where dead bodies are kept before burial or cremation
morion,a metal helmet worn by common soldiers in the 16th century
mormon,the ancient prophet whose writings were revealed to Joseph Smith who founded the Church of Jesus Christ of Latter-Day Saints
morose,showing a brooding ill humor; ; ; ; ; ; - Bruce Bliven
morris,United States suffragist in Wyoming (1814-1902)
morrow,the next day
morsel,a small quantity of anything
mortal,a human being
mortar,a muzzle-loading high-angle gun with a short barrel that fires shells at high elevations for a short range
morton,United States jazz musician who moved from ragtime to New Orleans jazz (1885-1941)
morula,a solid mass of blastomeres that forms when the zygote splits; develops into the blastula
mosaic,art consisting of a design made of small pieces of colored stone or glass
moscow,a city of central European Russia; formerly capital of both the Soviet Union and Soviet Russia; since 1991 the capital of the Russian Federation
moslem,a believer in or follower of Islam
mosque,(Islam) a Muslim place of worship that usually has a minaret
mostly,in large part; mainly or chiefly
mother,a woman who has given birth to a child (also used as a term of address to your mother)
motile,one whose prevailing mental imagery takes the form of inner feelings of action
motion,the use of movements (especially of the hands) to communicate familiar or prearranged signals
motive,the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior
motley,a collection containing a variety of sorts of things
motmot,tropical American bird resembling a blue jay and having greenish and bluish plumage
mottle,an irregular arrangement of patches of color
moujik,a Russian peasant (especially prior to 1917)
mouser,a cat proficient at mousing
mousey,infested with mice
mousse,"a rich, frothy, creamy dessert made with whipped egg whites and heavy cream"
mouton,meat from a mature domestic sheep
moving,"change location; move, travel, or proceed, also metaphorically"
mowing,cut with a blade or mower
muckle,(often followed by `of') a large number or amount or extent
mucoid,any of several glycoproteins similar to mucin
mucosa,mucus-secreting membrane lining all body cavities or passages that communicate with the exterior
mucose,of or secreting or covered with or resembling mucus
mucous,of or secreting or covered with or resembling mucus
mucuna,any of several erect or climbing woody plants of the genus Mucuna; widespread in tropics of both hemispheres
muddle,a confused multitude of things
muffed,"fail to catch, as of a ball"
muffin,a sweet quick bread baked in a cup-shaped pan
muffle,a kiln with an inner chamber for firing things at a low temperature
mugful,the quantity that can be held in a mug
mugger,a robber who takes property by threatening or performing violence on the person who is robbed (usually on the street)
mukden,a city in northeastern China
mulish,unreasonably rigid in the face of argument or entreaty or attack
mullah,a Muslim trained in the doctrine and law of Islam; the head of a mosque
muller,Swiss chemist who synthesized DDT and discovered its use as an insecticide (1899-1965)
mullet,highly valued lean flesh of marine or freshwater mullet
mumble,a soft indistinct utterance
mummer,an actor who communicates entirely by gesture and facial expression
munich,the capital and largest city of Bavaria in southwestern Germany
murder,unlawful premeditated killing of a human being by a human being
murine,a rodent that is a member of the family Muridae
murmur,a low continuous indistinct sound; often accompanied by movement of the lips without the production of articulate speech
murphy,an edible tuber native to South America; a staple food of Ireland
murray,British classical scholar (born in Australia) who advocated the League of Nations and the United Nations (1866-1957)
muscat,any of several cultivated grapevines that produce sweet white grapes
muscle,one of the contractile organs of the body
museum,a depository for collecting and displaying objects having scientific or historical or artistic value
mushed,drive (a team of dogs or a dogsled)
musher,a traveler who drives (or travels with) a dog team
musing,"a calm, lengthy, intent consideration"
muskat,any of several cultivated grapevines that produce sweet white grapes
musket,a muzzle-loading shoulder gun with a long barrel; formerly used by infantrymen
muslin,plain-woven cotton fabric
musnud,a seat with a cushion that is used as a throne by Indian princes
mussel,black marine bivalves usually steamed in wine
muster,a gathering of military personnel for duty
mutant,(biology) an organism that has characteristics resulting from chromosomal alteration
mutate,undergo mutation
mutely,without speaking
mutiny,open rebellion against constituted authority (especially by seamen or soldiers against their officers)
mutism,the condition of being unable or unwilling to speak
mutter,a low continuous indistinct sound; often accompanied by movement of the lips without the production of articulate speech
mutton,meat from a mature domestic sheep
mutual,common to or shared by two or more parties
muzhik,a Russian peasant (especially prior to 1917)
muzzle,the open circular discharging end of a gun
myelic,of or relating to the spinal cord
myelin,a white fatty substance that forms a medullary sheath around the axis cylinder of some nerve fibers
myopia,(ophthalmology) eyesight abnormality resulting from the eye's faulty refractive ability; distant objects appear blurred
myopic,unable to see distant objects clearly
myosin,the commonest protein in muscle; a globulin that combines with actin to form actomyosin
myosis,an acute infectious disease occurring in epidemic form and featuring paroxysms of pain (usually in the chest)
myotic,a drug that causes miosis (constriction of the pupil of the eye)
myrcia,a genus of tropical American trees and shrubs of the myrtle family
myriad,a large indefinite number
myrica,deciduous aromatic shrubs or small trees
myrtle,widely cultivated as a groundcover for its dark green shiny leaves and usually blue-violet flowers
myrtus,type genus of the Myrtaceae
myself,
mysore,a city in southern India to the southwest of Bangalore
mystic,someone who believes in the existence of realities beyond human comprehension
myxine,type genus of the Myxinidae (typical hagfishes)
myxoma,a benign tumor of connective tissue containing jellylike material
nagari,a syllabic script used in writing Sanskrit and Hindi
nagger,someone (especially a woman) who annoys people by constantly finding fault
naiant,applied to a fish depicted horizontally
nailer,a worker who attaches something by nailing it
namely,as follows
naming,the verbal act of naming
nammad,an embroidered rug made from a coarse Indian felt
nanism,a genetic abnormality resulting in short stature
napaea,one species: glade mallow
napalm,gasoline jelled with aluminum soaps; highly incendiary liquid used in fire bombs and flamethrowers
napery,linens for the dining table
napkin,a small piece of table linen that is used to wipe the mouth and to cover the lap in order to protect clothing
napped,take a siesta
nardoo,Australian clover fern
narial,of or relating to or near the nares
narrow,a narrow strait connecting two bodies of water
nasion,the craniometric point at the bridge of the nose where the frontal and nasal bones of the skull meet
nassau,the capital of the Bahamas
natals,a region of eastern South Africa on the Indian Ocean
nation,a politically organized body of people under a single government
native,an indigenous person who was born in a particular place
natrix,water snakes; a cosmopolitan genus
natter,talk socially without exchanging too much information
nature,the essential qualities or characteristics by which something is recognized
naught,a quantity of no importance
nausea,the state that precedes vomiting
nautch,an intricate traditional dance in India performed by professional dancing girls
navaho,a member of an Athapaskan people that migrated to Arizona and New Mexico and Utah
navajo,a member of an Athapaskan people that migrated to Arizona and New Mexico and Utah
nazify,cause or force to adopt Nazism or a Nazi character
nazism,a form of socialism featuring racism and expansionism and obedience to a strong leader
nearby,close at hand
nearly,(of actions or states) slightly short of or not quite accomplished; all but
neaten,put (things or places) in order
neatly,with neatness
nebiim,the second of three divisions of the Hebrew Scriptures
nebula,a medicinal liquid preparation intended for use in an atomizer
nebule,a small cloud
neckar,a river in Germany; rises in the Black Forest and flows north into the Rhine
necked,"kiss, embrace, or fondle with sexual passion"
necker,a lover who necks
nectar,a sweet liquid secretion that is attractive to pollinators
needer,a person who wants or needs something
needle,the leaf of a conifer
negate,be in contradiction with
nekton,the aggregate of actively swimming animals in a body of water ranging from microscopic organisms to whales
nelson,English admiral who defeated the French fleets of Napoleon but was mortally wounded at Trafalgar (1758-1805)
nepali,a native or inhabitant of Nepal
nepeta,catmint
nephew,a son of your brother or sister
nereid,(Greek mythology) any of the 50 sea nymphs who were daughters of the sea god Nereus
nerita,a neritid gastropod having a short smooth or spirally ridged shell with thick usually toothed outer lip and toothed operculum
nerium,one species: oleander
nester,someone who settles lawfully on government land with the intent to acquire title to it
nestle,a close and affectionate (and often prolonged) embrace
nestor,(Greek mythology) a wise old counselor to the Greeks at Troy
nether,lower
netted,make as a net profit
netter,remaining after all deductions
nettle,any of numerous plants having stinging hairs that cause skin irritation on contact (especially of the genus Urtica or family Urticaceae)
neural,of or relating to the nervous system
neuron,a cell that is specialized to conduct nerve impulses
neuter,a gender that refers chiefly (but not exclusively) to inanimate objects (neither masculine nor feminine)
nevada,a state in the southwestern United States
newari,Himalayish language spoken in the Kathmandu valley of Nepal
newton,English mathematician and physicist; remembered for developing the calculus and for his law of gravitation and his three laws of motion (1642-1727)
niacin,a B vitamin essential for the normal function of the nervous system and the gastrointestinal tract
nibbed,(used of pens) having a writing point or nib especially of a certain kind
nibble,a small byte
nicely,in a nice way
nicene,of or relating to the ancient city of Nicaea in Asia Minor
nicety,conformity with some esthetic standard of correctness or propriety
nickel,a hard malleable ductile silvery metallic element that is resistant to corrosion; used in alloys; occurs in pentlandite and smaltite and garnierite and millerite
nicker,the characteristic sounds made by a horse
nigger,(ethnic slur) extremely offensive name for a Black person
niggle,worry unnecessarily or excessively
nights,the time after sunset and before sunrise while it is dark outside
nilgai,large Indian antelope; male is blue-grey with white markings; female is brownish with no horns
nimble,moving quickly and lightly
nimbly,in a nimble or agile manner; with quickness and lightness and ease; - Charles Dickens
nimbus,a dark grey cloud bearing rain
nimrod,(Old Testament) a famous hunter
ninety,the cardinal number that is the product of ten and nine
nipper,a young person of either sex
nipple,the small projection of a mammary gland
nitric,of or containing nitrogen
nitwit,a stupid incompetent person
nobble,deprive of by deceit
nobody,a person of no influence
nocent,having a tendency to cause harm
noddle,an informal British expression for head or mind
nodule,a small node
noetic,of or associated with or requiring the use of the mind
noggin,informal terms for a human head
nonage,any age prior to the legal age
noncom,a military officer appointed from enlisted personnel
nonfat,without fat or fat solids
noodle,a ribbonlike strip of pasta
nootka,a member of the Wakashan people living on Vancouver Island and in the Cape Flattery region of northwestern Washington
nordic,the northern family of Germanic languages that are spoken in Scandinavia and Iceland
normal,something regarded as a normative example
norman,United States operatic soprano (born in 1945)
norway,a constitutional monarchy in northern Europe on the western side of the Scandinavian Peninsula; achieved independence from Sweden in 1905
nosing,search or inquire in a meddlesome way
nostoc,found in moist places as rounded jellylike colonies
notary,someone legally empowered to witness signatures and certify a document's validity and to take depositions
notate,"put into notation, as of music or choreography"
notice,"an announcement containing information about an event; ; ; ""a notice of sale"
notify,inform (somebody) of something
notion,a vague idea in which some confidence is placed
nougat,nuts or fruit pieces in a sugar paste
nought,a mathematical element that when added to another number yields the same number
novate,"replace with something new, especially an old obligation by a new one"
novena,a Roman Catholic devotion consisting of prayers on nine consecutive days
novial,an artificial language
novice,someone who has entered a religious order but has not taken final vows
nowise,in no manner
nozzle,a projecting spout from which a fluid is discharged
nuance,a subtle difference in meaning or opinion or attitude
nubbin,a small nub (especially an undeveloped fruit or ear of corn)
nubble,a small lump or protuberance
nubbly,of textiles; having a rough surface
nubian,a native or inhabitant of Nubia
nubile,of girls or women who are eligible to marry
nuclei,a part of the cell containing DNA and RNA and responsible for growth and reproduction
nudger,someone who nudges; someone who gives a gentle push
nudism,going without clothes as a social practice
nudist,a person who practices nudity for reasons of health or religion
nudity,the state of being without clothing or covering of any kind
nugget,a solid lump of a precious metal (especially gold) as found in the earth
nullah,a ravine or gully in southern Asia
number,the property possessed by a sum or total or indefinite quantity of units or individuals
numbly,in a numb manner; without feeling
numdah,an embroidered rug made from a coarse Indian felt
numida,guinea fowl
nuncio,(Roman Catholic Church) a diplomatic representative of the Pope having ambassadorial status
nuphar,spatterdocks
nurser,a person who treats something carefully
nutate,"rock, sway, or nod; usually involuntarily"
nutlet,a small nut
nutmeg,East Indian tree widely cultivated in the tropics for its aromatic seed; source of two spices: nutmeg and mace
nutria,aquatic South American rodent resembling a small beaver; bred for its fur
nutted,gather nuts
nutter,a person who is regarded as eccentric or mad
nuzzle,move or arrange oneself in a comfortable and cozy position
oafish,ill-mannered and coarse and contemptible in behavior or appearance
obeche,the wood of an African obeche tree; used especially for veneering
object,a tangible and visible entity; an entity that can cast a shadow
oblate,a lay person dedicated to religious work or the religious life
oblige,force somebody to do something
oblong,a plane figure that deviates from a square or circle due to elongation
oboist,a musician who plays the oboe
obolus,a Greek unit of weight equal to one tenth of a gram
obsess,haunt like a ghost; pursue
obtain,come into possession of
obtund,reduce the edge or violence of
obtuse,of an angle; between 90 and 180 degrees
occult,supernatural forces and events and beings collectively
occupy,keep busy with
ocelli,an eye having a single lens
ocelot,nocturnal wildcat of Central America and South America having a dark-spotted buff-brown coat
ocimum,basil
octane,any isomeric saturated hydrocarbon found in petroleum and used as a fuel and solvent
octans,the constellation that includes the southern celestial pole
octant,a measuring instrument for measuring angles to a celestial body; similar to a sextant but with 45 degree calibration
octave,a feast day and the seven days following it
octavo,the size of a book whose pages are made by folding a sheet of paper three times to form eight leaves
octopi,tentacles of octopus prepared as food
octroi,a tax on various goods brought into a town
ocular,combination of lenses at the viewing end of optical instruments
oculus,the organ of sight
oddish,somewhat strange
oddity,eccentricity that is not easily explained
odious,unequivocally detestable; ; ; ; - Edmund Burke
offend,cause to feel resentment or indignation
office,place of business where professional or clerical duties are performed
offing,the near or foreseeable future
offish,lacking cordiality; unfriendly
offset,the time at which something is supposed to begin
ogdoad,the cardinal number that is the sum of seven and one
oglala,a member of the Siouan people who constituted a division of the Teton Sioux and who formerly inhabited the Black Hills of western South Dakota
ogress,(folklore) a female ogre
ohioan,a native or resident of Ohio
ohmage,the ohmic resistance of a conductor
oilcan,a can with a long nozzle to apply oil to machinery
oilman,a person who owns or operates oil wells
ojibwa,a member of an Algonquian people who lived west of Lake Superior
okapia,okapis
oldish,somewhat elderly
olefin,any unsaturated aliphatic hydrocarbon
oliver,United States jazz musician who influenced the style of Louis Armstrong (1885-1938)
omasum,the third compartment of the stomach of a ruminant
omelet,beaten eggs or an egg mixture cooked until just set; may be folded around e.g. ham or cheese or jelly
omened,indicate by signs
ommiad,the first dynasty of Arab caliphs whose capital was Damascus
onager,an engine that provided medieval artillery used during sieges; a heavy war engine for hurling large stones and other missiles
oneida,a member of the Iroquoian people formerly living east of Lake Ontario
ononis,genus of European subshrubs or herbs having pink or purple or yellow solitary or clustered flowers: restharrow
onrush,(military) an offensive against an enemy (using weapons)
onside,not offside; being within the prescribed area of play
onward,forward in time or order or degree
onyxis,toenail having its free tip or edges embedded in the surrounding flesh
oocyte,a female gametocyte that develops into an ovum after two meiotic divisions
oodles,a large number or amount
oology,"the branch of zoology that studies eggs (especially birds' eggs and their size, shape, coloration, and number)"
oolong,Chinese tea leaves that have been partially fermented before being dried
opaque,not transmitting or reflecting light or radiant energy; impenetrable to sight
opener,the first event in a series
openly,in an open way
ophrys,a hardy genus of terrestrial orchids of Europe and northern Africa and western Asia
opiate,a narcotic drug that contains opium or an opium derivative
oporto,port city in northwest Portugal; noted for port wine
oppose,be against; express opposition to
oppugn,"challenge the accuracy, probity, or propriety of"
optics,the branch of physics that studies the physical properties of light
option,the right to buy or sell property at an agreed price; the right is purchased and if it is not exercised by a stated date the money is forfeited
oracle,an authoritative person who divines the future
oraler,using speech rather than writing
orally,(of drugs) through the mouth rather than through injection; by_mouth
orange,round yellow to orange fruit of any of several citrus trees
orator,a person who delivers a speech or oration
orchid,any of numerous plants of the orchid family usually having flowers of unusual shapes and beautiful colors
orchil,a purplish dye obtained from orchil lichens
orchis,any of various deciduous terrestrial orchids having fleshy tubers and flowers in erect terminal racemes
ordain,order by virtue of superior authority; decree
ordeal,a severe or trying experience
ordure,solid excretory product evacuated from the bowels
orgasm,the moment of most intense pleasure in sexual intercourse
orient,the countries of Asia
origin,"the place where something begins, where it springs into being"
oriole,mostly tropical songbird; the male is usually bright orange and black
orison,reverent petition to a deity
ormazd,chief deity of Zoroastrianism; source of light and embodiment of good
ormolu,brass that looks like gold; used to decorate furniture
